name,main_category,sub_category,image,link,ratings,no_of_ratings,price
Lasmo Oversized Women T-Shirts.,clothing,T-Shirts,https://m.media-amazon.com/images/I/418aYi5Q1IL._AC_UL320_.jpg,https://www.amazon.in/Lasmo-Oversized-Unisex-Printed-T-Shirts/dp/B0BVJ5FJV1/ref=sr_1_3295?qid=1679152861&s=apparel&sr=1-3295,5,5,349
Armani Exchange Hampton Women's Watch,clothing,Watches,https://m.media-amazon.com/images/I/6148Z7pxerL._AC_UL320_.jpg,https://www.amazon.in/Armani-Exchange-Hampton-Analog-Watch-AX5262/dp/B09NS1HJM9/ref=sr_1_247?qid=1679155590&s=watches&sr=1-247,5,4,16096
Yoga Mat PESOMA Premium Thick Mat,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/51E01r4E-XL._AC_UL320_.jpg,https://www.amazon.in/Yoga-Mat-Performance-Cushioning-Black-Grey/dp/B0BWS7FLXS/ref=sr_1_58?qid=1679217837&s=sports&sr=1-58,4.9,88,799
Sony Bravia (65 inches) 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81wxS8abrgL._AC_UL320_.jpg,https://www.amazon.in/Sony-Bravia-inches-Google-KD-65X74K/dp/B09WN3SRC7/ref=sr_1_32?qid=1679128060&s=electronics&sr=1-32,4.7,8000,69990
Sony Bravia (43 inches) 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81wxS8abrgL._AC_UL320_.jpg,https://www.amazon.in/Sony-Bravia-inches-Google-KD-43X74K/dp/B09WN2CVMY/ref=sr_1_34?qid=1679128060&s=electronics&sr=1-34,4.7,8000,41999
EQUAL 3 Inch Universally Compatible Office Chair ,Furniture,Chairs,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71YYja2920L._AC_UL320_.jpg,https://www.amazon.in/EQUAL-Office-Chair-Caster-Wheels/dp/B084RN5ZK8/ref=sr_1_342?qid=1679212904&s=kitchen&sr=1-342,4.6,829,1130
THALASI Anime Printed T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/I/51wJCi6D6oL._AC_UL320_.jpg,https://www.amazon.in/THALASI-Anime-Printed-Oversized-T-Shirts/dp/B0BVWPYK5B/ref=sr_1_61?qid=1679139862&s=apparel&sr=1-61,4.6,9,399
Titan Raga Facets Women's Watch,clothing,Watches,https://m.media-amazon.com/images/I/71ewugZRsJL._AC_UL320_.jpg,https://www.amazon.in/Titan-Facets-Analog-Womens-Watch-95118WM02/dp/B07YLVL85Q/ref=sr_1_211?qid=1679155590&s=watches&sr=1-211,4.6,50,17495
Michael Kors Sofie Women's Watch,clothing,Watches,https://m.media-amazon.com/images/I/61m0QwX6DBL._AC_UL320_.jpg,https://www.amazon.in/Michael-Kors-Analog-Womens-Watch-MK4336/dp/B07MJHY39D/ref=sr_1_231?qid=1679155590&s=watches&sr=1-231,4.6,225,14697
Voltas 2 Ton Inverter Split AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFTT3YL/ref=sr_1_34_mod_primary_new?qid=1679134239&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-34,4.6,3,44990
Zemic Portable Shoe Rack ,Furniture,Racks,https://m.media-amazon.com/images/I/61tYxdoTe1L._AC_UL320_.jpg,https://www.amazon.in/Zemic-Adjustable-Detachable-Expandable-Black10Shelf5Door/dp/B0BPP3K9YC/ref=sr_1_441?qid=1679212906&s=kitchen&sr=1-441,4.5,1746,2672
Great Choice Men's Lycra Shorts ,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/31LtS8D5eBL._AC_UL320_.jpg,https://www.amazon.in/Great-Choice-Lycra-Running-Shorts/dp/B0BQFB69XK/ref=sr_1_223?qid=1679217841&s=sports&sr=1-223,4.5,2,269
YONEX Junior Badminton Tennis Shorts 2061JR,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81cf1EL7LNL._AC_UL320_.jpg,https://www.amazon.in/Badminton-Apparel-Shorts-2061JR-8903224343682/dp/B0BFFGHKTY/ref=sr_1_1123?qid=1679217853&s=sports&sr=1-1123,4.5,5,945
ASICS Men's Noosa Tri 14 Running Shoe,clothing,Shoes,https://m.media-amazon.com/images/I/61M4JjiIH3L._AC_UL320_.jpg,https://www.amazon.in/ASICS-Noosa-Blue-Running-Shoes/dp/B0BN2KV4W4/ref=sr_1_1015?qid=1679147220&s=shoes&sr=1-1015,4.5,153,7217
Whirlpool 184L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/51HS1w-SYlL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Direct-Cool-Refrigerator-RADIANCE-Z-Vegetable/dp/B0BSRTWX56/ref=sr_1_38?qid=1679134276&s=kitchen&sr=1-38,4.5,2,13890
VU (43 inches) The GloLED 4K TV (Grey),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71drm2+hb4L._AC_UL320_.jpg,https://www.amazon.in/VU-inches-GloLED-Google-43GloLED/dp/B0BRNKSTV3/ref=sr_1_43?qid=1679128060&s=electronics&sr=1-43,4.5,1263,28991
Fulminare Self-Adhesive Aluminium Bathroom Corner Shelf Rack ,Furniture,Racks,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81JRpSeIYpL._AC_UL320_.jpg,https://www.amazon.in/Fulminare-Self-Adhesive-Aluminium-Organizer-Organisers/dp/B0BFB96XHK/ref=sr_1_347?qid=1679212904&s=kitchen&sr=1-347,4.4,305,1299
OORA Men Shorts Set,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61CWsGZv3LS._AC_UL320_.jpg,https://www.amazon.in/OORA-Sports-Shorts-Size-28-34-Inches/dp/B0991CXZ11/ref=sr_1_1105?qid=1679217853&s=sports&sr=1-1105,4.4,4,279
Dr Trust TPE Premium Luxfoam Yoga Mat,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/81wvPXmY45L._AC_UL320_.jpg,https://www.amazon.in/Dr-Trust-Premium-Flooring-Exercise/dp/B08D3M5DJ7/ref=sr_1_49?qid=1679217837&s=sports&sr=1-49,4.4,747,1299
OJS Yoga Mat for Women and Men ,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/71-3iIPoIFL._AC_UL320_.jpg,https://www.amazon.in/OJS-Material-Meditation-WINE-BLACK-MULTICOLOR/dp/B0BQ6J6RYP/ref=sr_1_54?qid=1679217837&s=sports&sr=1-54,4.4,27,379
TEGO Stance Truly Reversible Yoga Mat ,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/71GT6DxGXkL._AC_UL320_.jpg,https://www.amazon.in/TEGO-Stance-Truly-Reversible-GuideAlign/dp/B07R457D2W/ref=sr_1_63?qid=1679217837&s=sports&sr=1-63,4.4,924,2279
Liberty Men Formal Shoes,clothing,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81WDt0SoALL._AC_UL320_.jpg,https://www.amazon.in/Liberty-Hol-21-Formal-Shoes-9-51315292/dp/B0926TLFD5/ref=sr_1_176?qid=1679147883&s=shoes&sr=1-176,4.4,17,899
TIMEX Women's Watch,clothing,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Gj-PAtAmL._AC_UL320_.jpg,https://www.amazon.in/Timex-Analog-Gold-Womens-Watch-TW000Q810/dp/B014HDPQ8G/ref=sr_1_31?qid=1679155582&s=watches&sr=1-31,4.4,1259,2249
Philips 1.5-Litre Electric Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/81eVsU9t8FL._AC_UL320_.jpg,https://www.amazon.in/Philips-HD9306-06-1-5-Litre-Multicolor/dp/B00TI8E7BI/ref=sr_1_1424?qid=1679135672&s=appliances&sr=1-1424,4.4,2569,2560
AGARO Electric Kettle 0.5L,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/71BnnQhjHxL._AC_UL320_.jpg,https://www.amazon.in/OPTIMA-ELECTRIC-KETTLE-1500-Watt-Stainless/dp/B08CS2S4JB/ref=sr_1_2619?qid=1679135743&s=appliances&sr=1-2619,4.4,247,939
Samsung 253L Double Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/61kNDBKxSuL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Refrigerator-RT28A3453S8-HL/dp/B08SBSL8Y2/ref=sr_1_4?qid=1679134275&s=kitchen&sr=1-4,4.4,5784,24990
Samsung 189L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/61pZR4rv-WL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR21C2H25CR-HL/dp/B0BR3XFWKD/ref=sr_1_9?qid=1679134275&s=kitchen&sr=1-9,4.4,3477,17890
LG 185L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/61MaF1ibiiL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D201APZU/dp/B0BRQ9L7P1/ref=sr_1_12?qid=1679134275&s=kitchen&sr=1-12,4.4,1357,16990
LG 224L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/71XbkwjbVUL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D241ASCY/dp/B084YBZ5YV/ref=sr_1_33?qid=1679134276&s=kitchen&sr=1-33,4.4,1122,19990
Acer (32 inches) I Series HD Ready LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/712am1RDNiL._AC_UL320_.jpg,https://www.amazon.in/Acer-inches-Ready-Android-AR32AR2841HDFL/dp/B0B1YVCJ2Y/ref=sr_1_9?qid=1679128058&s=electronics&sr=1-9,4.4,7943,10999
Acer (55 inches) I Series 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71RNJ5AGNBL._AC_UL320_.jpg,https://www.amazon.in/Acer-inches-Ultra-Android-AR55AR2851UDFL/dp/B0B1YZ9CB8/ref=sr_1_19?qid=1679128058&s=electronics&sr=1-19,4.4,7943,29999
Acer (50 inches) H Series 4K Ultra HD LED TV(Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91SsUeXvteL._AC_UL320_.jpg,https://www.amazon.in/Acer-inches-Ultra-Android-AR50AR2851UDPRO/dp/B0B99NL2JM/ref=sr_1_48?qid=1679128060&s=electronics&sr=1-48,4.4,2687,28999
Adidas Men's Shorts,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/51d7yBqAV6L._AC_UL320_.jpg,https://www.amazon.in/Adidas-Mens-Shorts-He7167_L-Black/dp/B09N2Q7QJP/ref=sr_1_227?qid=1679217841&s=sports&sr=1-227,4.3,7,899
SHREY Apparels Compression Short Tights ,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/71Rw4Ivi1uL._AC_UL320_.jpg,https://www.amazon.in/Shrey-Apparels-Compression-Short-Tights/dp/B0B7DHS648/ref=sr_1_233?qid=1679217841&s=sports&sr=1-233,4.3,33,900
Li-Ning Panther Double Zipper Polyester Badminton Kit Bag,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/71vMNBKkbgL._AC_UL320_.jpg,https://www.amazon.in/Li-Ning-Panther-Double-Polyester-Badminton/dp/B09VDQDXWN/ref=sr_1_34?qid=1679147183&s=shoes&sr=1-34,4.3,311,999
AmazonBasics 6 mm Thick TPE Yoga Mat,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/71NNoJ8-gaL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-TPE-Yoga-Mat-Green/dp/B07R6TQLF9/ref=sr_1_51?qid=1679217837&s=sports&sr=1-51,4.3,488,709
Sport Fuel Nylon Yoga Mat Cover ,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/61Kiuk15T1L._AC_UL320_.jpg,https://www.amazon.in/Sport-Fuel-8907313008520-Nylon-Cover/dp/B01NADIPX3/ref=sr_1_64?qid=1679217837&s=sports&sr=1-64,4.3,470,379
TEGO CORE Yoga Mat,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/51qvblMVXbL._AC_UL320_.jpg,https://www.amazon.in/TEGO-CORE-Yoga-GuideAlign-Inch-Exercise/dp/B0BQY3XC4R/ref=sr_1_70?qid=1679217837&s=sports&sr=1-70,4.3,16,1849
Hykes Yoga Mat for Women & Men,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/61b-UnnzmHL._AC_UL320_.jpg,https://www.amazon.in/Hykes-Alignment-Carrying-Anti-Slip-Thickness/dp/B097P8PH5K/ref=sr_1_72?qid=1679217837&s=sports&sr=1-72,4.3,298,1299
HealthSense Yoga Mat for Women & Men,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/71KeqoUBaRL._AC_UL320_.jpg,https://www.amazon.in/HealthSense-Exercise-Workout-Material-Anti-Slip/dp/B0BJ2CQHW5/ref=sr_1_75?qid=1679217838&s=sports&sr=1-75,4.3,56,1399
Sparx Womens Running Shoes,clothing,Shoes,https://m.media-amazon.com/images/I/71QFQa8IqaL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Womens-Running-Shoes-7-SX0167L_BKLP0007/dp/B08JVZ7J11/ref=sr_1_11?qid=1679211495&s=shoes&sr=1-11,4.3,5294,940
Puma Women's Love Closed Shoe,clothing,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PincPVeQL._AC_UL320_.jpg,https://www.amazon.in/PUMA-Womens-White-Marshmallow-Sneaker-4062451625504/dp/B07SF2JN7P/ref=sr_1_213?qid=1679211497&s=shoes&sr=1-213,4.3,122,1729
Titan Karishma Revive Women's Watch,clothing,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/617cYEKOE9L._AC_UL320_.jpg,https://www.amazon.in/Titan-Karishma-Revive-Analog-Watch-2594BM01/dp/B079MD544V/ref=sr_1_16?qid=1679155582&s=watches&sr=1-16,4.3,1169,1596
Orpat 1L Cordless Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41zLECISgqL._AC_UL320_.jpg,https://www.amazon.in/Orpat-OEK-8147-1-Litre-Cordless-Kettle/dp/B00H7E5TD0/ref=sr_1_4267?qid=1679135834&s=appliances&sr=1-4267,4.3,1966,1045
LG 185L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/61T4yGA9-oL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D201ASCU/dp/B0BRNX1TMX/ref=sr_1_22?qid=1679134275&s=kitchen&sr=1-22,4.3,2170,17590
LG 185L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/817EjlZZ5ML._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D199OERY/dp/B0BS1VT5YW/ref=sr_1_49?qid=1679134276&s=kitchen&sr=1-49,4.3,2249,16690
Lloyd 1.5 Ton Inverter Split Ac,electronics,Air Conditioners,https://m.media-amazon.com/images/I/31IXlxIPsOL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I5FWBEV/dp/B0BRKXBRMF/ref=sr_1_11?qid=1679134237&s=kitchen&sr=1-11,4.3,1494,39990
Panasonic 1.5 Ton Inverter Split AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU18YKY5W/dp/B0BRJ1973T/ref=sr_1_19?qid=1679134237&s=kitchen&sr=1-19,4.3,5073,45990
Carrier 1.5 Ton Window AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/717wB+IneGL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Window-Copper-Directional-Control/dp/B0BDG3RTG5/ref=sr_1_49?qid=1679134239&s=kitchen&sr=1-49,4.3,201,30990
Cruise 1.5 Ton Inverter Split AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/41wle1II8xL._AC_UL320_.jpg,https://www.amazon.in/Cruise-Inverter-Filtration-CWCVBG-VQ1W183-Dehumidifier/dp/B094752MJ5/ref=sr_1_54?qid=1679134239&s=kitchen&sr=1-54,4.3,23,29990
Samsung (43 inches) Crystal 4K Neo Series Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71B7sRIydwL._AC_UL320_.jpg,https://www.amazon.in/Samsung-inches-Crystal-Ultra-UA43AUE65AKXXL/dp/B0B15CPR37/ref=sr_1_12?qid=1679128058&s=electronics&sr=1-12,4.3,7879,29990
LG (32 inches) HD Ready LED TV (Dark Iron Gray),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71arAQvySlL._AC_UL320_.jpg,https://www.amazon.in/LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_17?qid=1679128058&s=electronics&sr=1-17,4.3,12510,13990
TOSHIBA (32 inches) V Series HD Ready LED TV (Silver),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71KCvhgZt0L._AC_UL320_.jpg,https://www.amazon.in/TOSHIBA-inches-Android-32V35KP-Silver/dp/B0B3HJM3XP/ref=sr_1_52?qid=1679128060&s=electronics&sr=1-52,4.3,1932,13990
VW (32 inches) Playwall Frameless Series HD Ready LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71tayeblEsL._AC_UL320_.jpg,https://www.amazon.in/VW-Playwall-Frameless-Android-VW3251/dp/B0B16KD737/ref=sr_1_53?qid=1679128060&s=electronics&sr=1-53,4.3,927,8499
Featherlite ''Astro'' Mesh Home & Office Ergonomic Chair ,Furniture,Chairs,https://m.media-amazon.com/images/I/71bIM51hRiL._AC_UL320_.jpg,https://www.amazon.in/Featherlite-Ergonomic-Adjustable-Support-Armrest/dp/B09DNZPTJ8/ref=sr_1_496?qid=1679212908&s=kitchen&sr=1-496,4.2,874,8999
Amazon Brand - Solimo Steel and Non Woven Shoe Rack,Furniture,Racks,https://m.media-amazon.com/images/I/91eB0je3CvL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Racks-Black/dp/B08DJST4GC/ref=sr_1_987?qid=1679212915&s=kitchen&sr=1-987,4.2,284,759
TRUEREVO 2 in 1 Running Sports Shorts for Men,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/51H4mmPCDnL._AC_UL320_.jpg,https://www.amazon.in/TRUEREVO-Double-Layered-Sports-Shorts/dp/B071WW5G4Y/ref=sr_1_230?qid=1679217841&s=sports&sr=1-230,4.2,816,1470
WiseLife TRU Alignment Yoga Mat,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/61b+Zrv6-WL._AC_UL320_.jpg,https://www.amazon.in/WiseLife-Alignment-Storage-ProBalance-Material/dp/B08W1WMQ1V/ref=sr_1_60?qid=1679217837&s=sports&sr=1-60,4.2,719,1223.78
Campus Women's Alexa Running Shoes,clothing,Shoes,https://m.media-amazon.com/images/I/61MGVjbYydL._AC_UL320_.jpg,https://www.amazon.in/Campus-Womens-Running-Shoes-7-5G-663/dp/B07SYPMHB7/ref=sr_1_4?qid=1679211495&s=shoes&sr=1-4,4.2,7143,883
Red Tape Women's Walking Shoes,clothing,Shoes,https://m.media-amazon.com/images/I/51TDrJ0WFYL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Womens-Walking-Shoes-6/dp/B0B8VDD81L/ref=sr_1_12?qid=1679211495&s=shoes&sr=1-12,4.2,79,1215
Veirdo Oversized Doodle Printed Tshirt,clothing,T-Shirts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51OxGO9XSnL._AC_UL320_.jpg,https://www.amazon.in/Veirdo-Cotton-Oversized-Printed-T-Shirt/dp/B09RV243NV/ref=sr_1_2179?qid=1679152820&s=apparel&sr=1-2179,4.2,355,449
Michael Kors Chronograph Women's Watch,clothing,Watches,https://m.media-amazon.com/images/I/81X6b+mWenL._AC_UL320_.jpg,https://www.amazon.in/Michael-Kors-Analog-Womens-Watch-MK5896/dp/B00FZE1AZU/ref=sr_1_116?qid=1679155586&s=watches&sr=1-116,4.2,2515,19495
Tommy Hilfiger Men's Watch ,clothing,Watches,https://m.media-amazon.com/images/I/715DELJdP0L._AC_UL320_.jpg,https://www.amazon.in/Tommy-Hilfiger-Analog-Blue-Watch-TH1791476/dp/B07CTT1Y6C/ref=sr_1_147?qid=1679155586&s=watches&sr=1-147,4.2,182,7871
jainx Premium Women Watch,clothing,Watches,https://m.media-amazon.com/images/I/71pcw8MRXiL._AC_UL320_.jpg,https://www.amazon.in/Jainx-Analogue-Golden-Womens-Watch-Jw512/dp/B00WBK62BS/ref=sr_1_234?qid=1679155590&s=watches&sr=1-234,4.2,388,569
Giordano Women's Watch,clothing,Watches,https://m.media-amazon.com/images/I/715xQ8OUVdL._AC_UL320_.jpg,https://www.amazon.in/Giordano-Analog-Silver-Womens-Watch-2796-03/dp/B01MRZXNZ0/ref=sr_1_243?qid=1679155590&s=watches&sr=1-243,4.2,2,3000
Butterfly EKN 1.5-Litre Electric Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71cFxsy+BCL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-EKN-1-5-Litre-Kettle-Silver/dp/B078V8R9BS/ref=sr_1_17?qid=1679135585&s=appliances&sr=1-17,4.2,36295,649
Expresso Tea Pot/Coffee Kettle (200 Ml),kitchen appliances,Kettle,https://m.media-amazon.com/images/I/61uc1rd7bqL._AC_UL320_.jpg,https://www.amazon.in/Expresso-Stainless-Indian-Filter-Coffee/dp/B08LBC68LC/ref=sr_1_1255?qid=1679135662&s=appliances&sr=1-1255,4.2,67,549
Usha EK Electric Kettle 1L,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/313Tpa9PYxL._AC_UL320_.jpg,https://www.amazon.in/Usha-Ltr-Ek3315-Electric-Kettle/dp/B00UQ7I9WI/ref=sr_1_3285?qid=1679135779&s=appliances&sr=1-3285,4.2,533,1499
Godrej 180L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/61eU1t-ag2L._AC_UL320_.jpg,https://www.amazon.in/Godrej-Direct-Cool-Refrigerator-EDGENEO-Technology/dp/B0BV27HC9R/ref=sr_1_7?qid=1679134275&s=kitchen&sr=1-7,4.2,1282,14690
Haier 190L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/71uc7LdOzmL._AC_UL320_.jpg,https://www.amazon.in/Haier-Single-Refrigerator-HED-204DS-P-Dazzle/dp/B0BTHLMS39/ref=sr_1_11?qid=1679134275&s=kitchen&sr=1-11,4.2,4185,14790
Whirlpool 184L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/41z+qaUUJZL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Direct-Cool-Refrigerator-SAPPHIRE-Vegetable/dp/B0BSRVL2VV/ref=sr_1_17?qid=1679134275&s=kitchen&sr=1-17,4.2,4929,11990
Whirlpool 240L Multi-Door Refrigerator,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/51doUVvMA-L._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Refrigerator-263D-Protton-Roy/dp/B078YHT1FR/ref=sr_1_28?qid=1679134275&s=kitchen&sr=1-28,4.2,4609,25790
Hisense 46L Single Door Mini Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/81ALlR0NIkL._AC_UL320_.jpg,https://www.amazon.in/Hisense-Direct-Cool-Single-Refrigerator-RR46D4SSN/dp/B0B3M1WCCP/ref=sr_1_28?qid=1679134276&s=kitchen&sr=1-28,4.2,72,7990
Lifelong 505L Refrigerator,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/71rHl5QXhxL._AC_UL320_.jpg,https://www.amazon.in/Lifelong-Refrigerator-Compressor-compressor-LLSBSR505/dp/B09DCG7WCK/ref=sr_1_39?qid=1679134276&s=kitchen&sr=1-39,4.2,14,47990
OnePlus Bullets Z2 Wireless Earphones,electronics,Headphones,https://m.media-amazon.com/images/I/51UhwaQXCpL._AC_UL320_.jpg,https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS/ref=sr_1_4?qid=1679128666&s=electronics&sr=1-4,4.2,90303,1999
