name,main_category,sub_category,image,link,ratings,no_of_ratings,price
OnePlus Nord Buds Earbuds,electronics,Headphones,https://m.media-amazon.com/images/I/514NPRZ1AQL._AC_UL320_.jpg,https://www.amazon.in/OnePlus-Wireless-Earbuds-Titanium-Playback/dp/B09ZHPN8W5/ref=sr_1_12?qid=1679128666&s=electronics&sr=1-12,4.2,23719,2799
Oppo Enco M32 Earbuds,electronics,Headphones,https://m.media-amazon.com/images/I/518ti3ya2YL._AC_UL320_.jpg,https://www.amazon.in/OPPO-Bluetooth-Wireless-Earbuds-Charge/dp/B09NMPRX6Y/ref=sr_1_49?qid=1679128667&s=electronics&sr=1-49,4.2,19566,1599
LG 1.5 Ton Inverter Split AC ,electronics,Air Conditioners,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q19YNZE/dp/B0BQ3MXML8/ref=sr_1_5?qid=1679134237&s=kitchen&sr=1-5,4.2,2948,46490
Samsung (32 Inches) HD Ready LED TV (Glossy Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71a4ZQNqTiL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy/dp/B09F6S8BT6/ref=sr_1_4?qid=1679128058&s=electronics&sr=1-4,4.2,8877,12990
MI (32 inches) 5A Series HD Ready LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81tD7OZ0RXL._AC_UL320_.jpg,https://www.amazon.in/MI-inches-Ready-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_5?qid=1679128058&s=electronics&sr=1-5,4.2,34286,13999
OnePlus (55 inches) Y Series 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81Itairz1YL._AC_UL320_.jpg,https://www.amazon.in/OnePlus-55-inches-Android-Pro/dp/B0BLVQBPCC/ref=sr_1_7?qid=1679128058&s=electronics&sr=1-7,4.2,8290,38999
Redmi (43 inches) Full HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71g3OF4CL9L._AC_UL320_.jpg,https://www.amazon.in/Redmi-inches-Smart-L43M6-RA-Android/dp/B09G73T643/ref=sr_1_10?qid=1679128058&s=electronics&sr=1-10,4.2,47642,21999
OnePlus (43 inches) Y Series 4K Ultra HD LED TV Pro (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/819SRH2DKBL._AC_UL320_.jpg,https://www.amazon.in/OnePlus-43-inches-Android-Pro/dp/B09VCHLSJF/ref=sr_1_21?qid=1679128058&s=electronics&sr=1-21,4.2,8290,29999
TCL (40 inches) Full HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61f1sKQ7FiL._AC_UL320_.jpg,https://www.amazon.in/TCL-inches-Certified-Android-40S6505/dp/B09T3KB6JZ/ref=sr_1_24?qid=1679128058&s=electronics&sr=1-24,4.2,1308,16990
iFFALCON (58 inches) 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/714OTuxxnfL._AC_UL320_.jpg,https://www.amazon.in/iFFALCON-inches-Ultra-Google-iFF58U62/dp/B0BMQL1518/ref=sr_1_28?qid=1679128060&s=electronics&sr=1-28,4.2,2033,33999
TCL (50 inches) 4K Ultra HD LED TV(Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71M-4svv9-L._AC_UL320_.jpg,https://www.amazon.in/TCL-inches-Certified-Android-50P615/dp/B08FD3HN12/ref=sr_1_37?qid=1679128060&s=electronics&sr=1-37,4.2,2809,26990
CELLBELL C106 Medium Back Mesh Office Chair,Furniture,Chairs,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Ui5Bt7UlL._AC_UL320_.jpg,https://www.amazon.in/CELLBELL-C106-Revolving-Adjustable-Reclining/dp/B09XMJPTPD/ref=sr_1_1314?qid=1679212922&s=kitchen&sr=1-1314,4.1,968,3919
Amazon Brand Multi-Purpose Shoe Rack ,Furniture,Racks,https://m.media-amazon.com/images/I/81J2zby1+8L._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Multi-Purpose-Shoe-Black/dp/B0B5RTNK7M/ref=sr_1_446?qid=1679212906&s=kitchen&sr=1-446,4.1,94,1139
Amazon Brand - Symactive Men Shorts,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71cv73eEBWL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-Shorts-AW17-SYSP-07A_XX-Large_Navy/dp/B071XCRM43/ref=sr_1_289?qid=1679217843&s=sports&sr=1-289,4.1,1168,409
Sparx Men's Sm-675 Running Shoe,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/71u2XOFXAIL._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-675-Turkey-G-Yellow-SX0675GTBGD0010/dp/B08WJ1YS3N/ref=sr_1_12?qid=1679147183&s=shoes&sr=1-12,4.1,5089,849
Campus Men's Wells Running Shoes,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/61XwYMOyfwL._AC_UL320_.jpg,https://www.amazon.in/Campus-Mens-Wells-Running-Shoes/dp/B08VGSPZFY/ref=sr_1_19?qid=1679147183&s=shoes&sr=1-19,4.1,1829,854
KRUM Yoga Gym Mat Exercise Yoga Mat ,Sports & Fitness,Yoga Mats,https://m.media-amazon.com/images/I/51ndmUz-ZuL._AC_UL320_.jpg,https://www.amazon.in/Yoga-Gym-Mat-Gymnastics-Traveling/dp/B07RVG1LL4/ref=sr_1_221?qid=1679217841&s=sports&sr=1-221,4.1,65,1099
US Polo Association Men's Panal Sneakers,clothing,Shoes,https://m.media-amazon.com/images/I/71Qu22EbOTL._AC_UL320_.jpg,https://www.amazon.in/US-Polo-Assn-Sneakers-8-2531918312/dp/B07VKLZN1T/ref=sr_1_27?qid=1679148619&s=shoes&sr=1-27,4.1,2789,1799
Chumbak Teal Jungle Flowers Wrist Watch,clothing,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61aUVnN2v4S._AC_UL320_.jpg,https://www.amazon.in/Chumbak-Jungle-Flowers-Printed-Wrist/dp/B084VQV17Z/ref=sr_1_56?qid=1679155584&s=watches&sr=1-56,4.1,597,995
Shocknshop Women's Watch ,clothing,Watches,https://m.media-amazon.com/images/I/71Yx3M1+mPL._AC_UL320_.jpg,https://www.amazon.in/Shocknshop-Casual-Analog-Watches-Colored/dp/B0BHTTZLWB/ref=sr_1_148?qid=1679155586&s=watches&sr=1-148,4.1,30,249
Butterfly EKN 1.8L Electric Water Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/81BSaG8MCYL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-EKN-Electric-Kettle-Stainless/dp/B07HK89PWY/ref=sr_1_1086?qid=1679135652&s=appliances&sr=1-1086,4.1,9338,850
Pigeon 1.5L Electric Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/713Jf1cFWDL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-12466-1-5-Litre-Electric-Multicolor/dp/B01MSAR9DS/ref=sr_1_1961?qid=1679135705&s=appliances&sr=1-1961,4.1,5308,673
iBELL Electric Glass Kettle 1.2L,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/71cflct0w5L._AC_UL320_.jpg,https://www.amazon.in/GEK12LB-PLUS-Electric-Kettle-Degree-Cordless/dp/B09DT4Y7SG/ref=sr_1_3955?qid=1679135817&s=appliances&sr=1-3955,4.1,194,1022
Bajaj Majesty KTX 1L Stainless Steel Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61j5xfuGwzL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Majesty-KTX-Multifunction-Stainless/dp/B009P2KUBI/ref=sr_1_4359?qid=1679135840&s=appliances&sr=1-4359,4.1,513,2340
Godrej 180L Single Door Refrigerator,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/61FUkX14rXL._AC_UL320_.jpg,https://www.amazon.in/Godrej-Refrigerator-EDGE-205B-WRF/dp/B0BS6XQVD1/ref=sr_1_18?qid=1679134275&s=kitchen&sr=1-18,4.1,642,12490
AmazonBasics 44L Single Door Mini Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/51FDww4QuIL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Basics-Direct-Cool-Single-Refrigerator/dp/B09RJZVYM9/ref=sr_1_21?qid=1679134275&s=kitchen&sr=1-21,4.1,755,7990
Kelvinator 95L Single Door Refrigerator,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/513ItaN0nQL._AC_UL320_.jpg,https://www.amazon.in/Kelvinator-litres-Single-Refrigerator-KRC-A110SGP/dp/B08JKNYCNV/ref=sr_1_54_mod_primary_new?qid=1679134276&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-54,4.1,168,10690
boAt Rockerz 255 Pro+ Neckband ,electronics,Headphones,https://m.media-amazon.com/images/I/51aBTOiXRlL._AC_UL320_.jpg,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_17?qid=1679128666&s=electronics&sr=1-17,4.1,148827,1499
JBL C100SI Wired Headphones,electronics,Headphones,https://m.media-amazon.com/images/I/51Q8DUDT2eL._AC_UL320_.jpg,https://www.amazon.in/JBL-C100SI-Ear-Headphones-Black/dp/B01DEWVZ2C/ref=sr_1_26?qid=1679128666&s=electronics&sr=1-26,4.1,194686,599
boAt Bassheads 242 Wired Earphones,electronics,Headphones,https://m.media-amazon.com/images/I/61+tzvHZi+L._AC_UL320_.jpg,https://www.amazon.in/Boat-Bassheads-242-Earphones-Resistance/dp/B07S9S86BF/ref=sr_1_36?qid=1679128667&s=electronics&sr=1-36,4.1,164872,599
Carrier 1.5 Ton Inverter Split AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/41lrtqXPiWL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Inverter-Split-Copper-Flexicool/dp/B0B67RLLJC/ref=sr_1_8?qid=1679134237&s=kitchen&sr=1-8,4.1,630,34490
Daikin 1.5 Ton Inverter Split AC ,electronics,Air Conditioners,https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,https://www.amazon.in/Daikin-Inverter-Copper-Filter-MTKM50U/dp/B09R4RYCJ4/ref=sr_1_18?qid=1679134237&s=kitchen&sr=1-18,4.1,730,44990
Godrej 1.5 Ton Inverter Split AC ,electronics,Air Conditioners,https://m.media-amazon.com/images/I/51HEnpDyVpL._AC_UL320_.jpg,https://www.amazon.in/Godrej-Convertible-1-5T-18IINV5R32-WWA/dp/B0BP7SY16R/ref=sr_1_24?qid=1679134237&s=kitchen&sr=1-24,4.1,432,37490
Hisense (55 inches) Bezelless Series 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Y9kiW1wlL._AC_UL320_.jpg,https://www.amazon.in/Hisense-inches-Bezelless-Google-55A6H/dp/B0B2CR7N3N/ref=sr_1_22?qid=1679128058&s=electronics&sr=1-22,4.1,1902,34999
Hisense (50 inches) Bezelless Series 4K Ultra HD LED TV (Black),electronics,Televisions,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71Y9kiW1wlL._AC_UL320_.jpg,https://www.amazon.in/Hisense-inches-Bezelless-Google-50A6H/dp/B0B2C5MJN6/ref=sr_1_29?qid=1679128060&s=electronics&sr=1-29,4.1,1902,29999
Amazon Brand - Solimo Rhine Study/Laptop Table and Chair Set (Black),Furniture,Chairs,https://m.media-amazon.com/images/I/71kyi9i1CAS._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-DR-FTS-5073-table-chair/dp/B089DK4WYC/ref=sr_1_483?qid=1679212908&s=kitchen&sr=1-483,4,121,2499
Plantex Bathroom Accessories-Stainless Steel 304 Grade Folding Towel Rack,Furniture,Racks,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61D114hxxTL._AC_UL320_.jpg,https://www.amazon.in/Plantex-Premium-Stainless-Bathroom-Accessories/dp/B082QZ3RSJ/ref=sr_1_351?qid=1679212904&s=kitchen&sr=1-351,4,570,1399
ENDEAVOUR WEAR Men's Sports Shorts ,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/61XZpad5ruL._AC_UL320_.jpg,https://www.amazon.in/ENDEAVOUR-WEAR-Light-Regular-Shorts/dp/B0B4KCSXVG/ref=sr_1_89?qid=1679217838&s=sports&sr=1-89,4,325,399
Puma Men's Bermuda Shorts,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/6108PLhHkbL._AC_UL320_.jpg,https://www.amazon.in/Puma-Regular-Polycotton-Casual-58670976_Peacoat-Cat_XL/dp/B08V57VJTP/ref=sr_1_228?qid=1679217841&s=sports&sr=1-228,4,28,809
ASIAN Men's Wonder-13 Sports Running Shoes,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/61utX8kBDlL._AC_UL320_.jpg,https://www.amazon.in/Wonder-Firozi-Sports-Shoes-Indian/dp/B01N66F4CH/ref=sr_1_5?qid=1679147183&s=shoes&sr=1-5,4,86521,524
Reebok Men's Energy Runner LP ,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/41dXa2CVvPL._AC_UL320_.jpg,https://www.amazon.in/Reebok-Mens-Energy-Runner-Running/dp/B08FZTHYQX/ref=sr_1_9?qid=1679147183&s=shoes&sr=1-9,4,2819,1250
Red Tape Men's Walking Shoes,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/615LosPUEOL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Mens-Walking-Shoes-8/dp/B0BKZFC2H4/ref=sr_1_18?qid=1679147183&s=shoes&sr=1-18,4,439,1699
Adidas Men's Clinch-X M Running Shoe,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/718M+5WpfWL._AC_UL320_.jpg,https://www.amazon.in/Adidas-Mens-Clinch-X-Running-Shoe/dp/B08FZVBHM1/ref=sr_1_25?qid=1679147183&s=shoes&sr=1-25,4,3809,1169
Sparx Mens Sx0680g Sneaker,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/81KiR3boi1L._AC_UL320_.jpg,https://www.amazon.in/Sparx-SM-680-Sports-Shoes-SX0680G_GYRD_0008/dp/B098B7QQ8Y/ref=sr_1_30?qid=1679147183&s=shoes&sr=1-30,4,737,1199
Puma Men's Trackracer Idp Closed Shoe,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/51dWP4HDW-L._AC_UL320_.jpg,https://www.amazon.in/Rapid-Runner-Silver-Sneakers-8-4060981829775/dp/B07N7MKVVM/ref=sr_1_33?qid=1679147183&s=shoes&sr=1-33,4,4974,1614
Lotto Mens Vertigo Running Shoes,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/91MhDgdsY+L._AC_UL320_.jpg,https://www.amazon.in/Lotto-Vertigo-Black-Running-Shoes/dp/B072X3L8DV/ref=sr_1_38?qid=1679147183&s=shoes&sr=1-38,4,17855,833
Sparx mens Sneakers,clothing,Shoes,https://m.media-amazon.com/images/I/51e48JV2GfL._AC_UL320_.jpg,https://www.amazon.in/Sparx-Casual-Stripped-Sneakers-White/dp/B0B4KF6LFM/ref=sr_1_5?qid=1679148619&s=shoes&sr=1-5,4,1893,499
Puma Mens Cliff Idp Low Boot,clothing,Shoes,https://m.media-amazon.com/images/I/71P6Ez1pDeL._AC_UL320_.jpg,https://www.amazon.in/Puma-Cliff-Casual-Shoe-9-38718608/dp/B09CH5RMFR/ref=sr_1_39?qid=1679148619&s=shoes&sr=1-39,4,281,1709
Woodland Mens OGC Sneaker,clothing,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71k8TsERkwL._AC_UL320_.jpg,https://www.amazon.in/Woodland-Leather-Sneaker-OGC-3608119_Olive/dp/B08T473YPW/ref=sr_1_105?qid=1679148623&s=shoes&sr=1-105,4,504,2337
Red Chief Leather Formal Shoe for Mens,clothing,Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81k99-CSpXL._AC_UL320_.jpg,https://www.amazon.in/Red-Chief-Sneakers-8-RC3506-001/dp/B075L9VWQ5/ref=sr_1_25?qid=1679147878&s=shoes&sr=1-25,4,4026,2299
Campus Women's Jessica Running Shoes,clothing,Shoes,https://m.media-amazon.com/images/I/51D8Wtv3zeL._AC_UL320_.jpg,https://www.amazon.in/Campus-Womens-Jessica-FIROZI-Running/dp/B09WJ8X14C/ref=sr_1_26?qid=1679211495&s=shoes&sr=1-26,4,2593,770
Adidas Men's Clinch-X M Running Shoe,clothing,Shoes,https://m.media-amazon.com/images/I/718M+5WpfWL._AC_UL320_.jpg,https://www.amazon.in/Adidas-Mens-Clinch-X-Running-Shoe/dp/B08FZVBHM1/ref=sr_1_25?qid=1679147183&s=shoes&sr=1-25,4,3809,1169
Shasmi Women's & Girl's Solid Knitted T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/I/61YiO2gE4OL._AC_UL320_.jpg,https://www.amazon.in/Shasmi-Womens-Knitted-Square-T-Shirts/dp/B0BQF57PFX/ref=sr_1_2122?qid=1679152818&s=apparel&sr=1-2122,4,25,338
LOUIS DEVIN Wrist Watch for Women,clothing,Watches,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81jnv+iz+ZL._AC_UL320_.jpg,https://www.amazon.in/LOUIS-DEVIN-Analogue-Colored-LD-L144-BLU-CH/dp/B08VN2H8CV/ref=sr_1_8?qid=1679155582&s=watches&sr=1-8,4,5276,289
Bajaj Majesty KTX 15 1.7L Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/I/51sP-6+RW+L._AC_UL320_.jpg,https://www.amazon.in/Bajaj-Majesty-Litre-Kettle-Silver/dp/B00KKL8OXO/ref=sr_1_3429_mod_primary_new?qid=1679135787&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3429,4,1538,1699
Havells Travel Lite 0.5 Litre Electric Kettle,kitchen appliances,Kettle,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41WyjwhZWbL._AC_UL320_.jpg,https://www.amazon.in/Havells-Travel-Lite-0-5-Litre-1000-Watt/dp/B00BYRK0FS/ref=sr_1_4594?qid=1679135853&s=appliances&sr=1-4594,4,220,1478
Haier 175L Single Door Refrigerator ,kitchen appliances,Refrigerators,https://m.media-amazon.com/images/I/718NPwPMm4L._AC_UL320_.jpg,https://www.amazon.in/Haier-Single-Refrigerator-HED-182ME-N-Marine/dp/B0BTHKBVRD/ref=sr_1_45?qid=1679134276&s=kitchen&sr=1-45,4,11,12490
realme TechLife Buds T100 Earbuds,electronics,Headphones,https://m.media-amazon.com/images/I/61aasAbKvvL._AC_UL320_.jpg,https://www.amazon.in/realme-TechLife-Bluetooth-Wireless-Playback/dp/B0B8VBVVMW/ref=sr_1_28?qid=1679128667&s=electronics&sr=1-28,4,5532,1499
realme Buds Wireless 2 Neo Earphones,electronics,Headphones,https://m.media-amazon.com/images/I/61+3f5q7T6S._AC_UL320_.jpg,https://www.amazon.in/realme-Wireless-Bluetooth-Earphones-Black/dp/B0999NNBPV/ref=sr_1_46?qid=1679128667&s=electronics&sr=1-46,4,48450,1299
Voltas 1.5 Ton Inverter Split AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/51WQ3nWF0vL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Inverter-Split-Conditioner-VOLTAS/dp/B09WDP2DLF/ref=sr_1_16?qid=1679134237&s=kitchen&sr=1-16,4,801,37999
Whirlpool 1.5 Ton Split AC,electronics,Air Conditioners,https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-Cooling/dp/B0BR5S1PDX/ref=sr_1_37?qid=1679134239&s=kitchen&sr=1-37,4,3604,38990
Star Work Zero Gravity Relax Chair,Furniture,Chairs,https://m.media-amazon.com/images/I/81lQ40jzq-L._AC_UL320_.jpg,https://www.amazon.in/Portable-Foldable-Recliner-Adjustable-Stainless/dp/B0BH2CNRT8/ref=sr_1_450?qid=1679212906&s=kitchen&sr=1-450,3.9,177,2999
Patiofy Swing  Cotton D Shape Swing Chair,Furniture,Chairs,https://m.media-amazon.com/images/I/611ybeeBUrL._AC_UL320_.jpg,https://www.amazon.in/Patiofy-Swing-Wooden-Balcony-Hanging/dp/B09RG13XGD/ref=sr_1_986?qid=1679212915&s=kitchen&sr=1-986,3.9,91,1485
Homescape Products Chair ,Furniture,Chairs,https://m.media-amazon.com/images/I/81NFpAMMowL._AC_UL320_.jpg,https://www.amazon.in/Homescape-Chair-Comfort-0-2years-Quality/dp/B084BZVS9Z/ref=sr_1_999?qid=1679212915&s=kitchen&sr=1-999,3.9,536,849
Homescape Products Baby's Sofa Cum Bed and Chair ,Furniture,Chairs,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81NFpAMMowL._AC_UL320_.jpg,https://www.amazon.in/Homescape-Chair-Comfort-0-2years-Quality/dp/B084BZVS9Z/ref=sr_1_1125?qid=1679212917&s=kitchen&sr=1-1125,3.9,536,849
Oysters Men's Shorts ,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/I/61SY1s3YCdL._AC_UL320_.jpg,https://www.amazon.in/Oysters-Running-Athletic-Workout-Airforce/dp/B0B6QJDMZ2/ref=sr_1_62?qid=1679217837&s=sports&sr=1-62,3.9,88,649
Puma Men Shorts,Sports & Fitness,Men's shorts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61NDz7QzLML._AC_UL320_.jpg,https://www.amazon.in/Regular-Cotton-Casual-59981001-Black_M/dp/B08V4PD48M/ref=sr_1_304?qid=1679217843&s=sports&sr=1-304,3.9,16,749
Campus Men's Maxico Running Shoes,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/81Pk4RiSKqL._AC_UL320_.jpg,https://www.amazon.in/Campus-Maxico-MODBLU-BLU-Running-Shoes/dp/B0855ZDZCX/ref=sr_1_7?qid=1679147183&s=shoes&sr=1-7,3.9,20422,675
Reebok Mens Motion Pulse 2 M Walking Shoe,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/81oqZyAYbmL._AC_UL320_.jpg,https://www.amazon.in/Reebok-Solid-Black-Motion-Walking/dp/B09N7221KF/ref=sr_1_31?qid=1679147183&s=shoes&sr=1-31,3.9,3,903
AVANT Men's Ultra Light Running and Training Shoes,Sports & Fitness,Sports Shoes,https://m.media-amazon.com/images/I/61rpE6+B6EL._AC_UL320_.jpg,https://www.amazon.in/Avant-Ultra-Light-Running-Training/dp/B07NT7P2SV/ref=sr_1_41?qid=1679147183&s=shoes&sr=1-41,3.9,3133,649
Red Tape Men's Chelsea Boots,clothing,Shoes,https://m.media-amazon.com/images/I/61vKUYLUfGL._AC_UL320_.jpg,https://www.amazon.in/Red-Tape-Leather-Chelsea-RTE3081/dp/B08LL1PB4N/ref=sr_1_54?qid=1679148619&s=shoes&sr=1-54,3.9,592,1824
Reebok Mens Motion Pulse 2 M Walking Shoe,clothing,Shoes,https://m.media-amazon.com/images/I/81oqZyAYbmL._AC_UL320_.jpg,https://www.amazon.in/Reebok-Solid-Black-Motion-Walking/dp/B09N7221KF/ref=sr_1_31?qid=1679147183&s=shoes&sr=1-31,3.9,3,903
"NIVIK Printed, Cotton Tops & T-Shirts",clothing,T-Shirts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/818VMFI4iWL._AC_UL320_.jpg,https://www.amazon.in/NIVIK-Printed-Cotton-t-Shirts-X-Large/dp/B096WD28VR/ref=sr_1_968?qid=1679152775&s=apparel&sr=1-968,3.9,1319,699
MODISH Printed Cotton t-Shirts ,clothing,T-Shirts,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/818VMFI4iWL._AC_UL320_.jpg,https://www.amazon.in/MODISH-Printed-Cotton-t-Shirts-Girls/dp/B09BL62VX3/ref=sr_1_3167?qid=1679152855&s=apparel&sr=1-3167,3.9,10,699
EL Unico Women's Cotton Printed T-Shirt,clothing,T-Shirts,https://m.media-amazon.com/images/I/41UItPsJBmS._AC_UL320_.jpg,https://www.amazon.in/El-Unico-Regular-T-Shirt-Tshirts/dp/B09YL695K6/ref=sr_1_5682?qid=1679152946&s=apparel&sr=1-5682,3.9,44,329
VeirdoÂ® Cotton T-Shirts,clothing,T-Shirts,https://m.media-amazon.com/images/I/614o+XQz7UL._AC_UL320_.jpg,https://www.amazon.in/Veirdo-Oversized-T-Shirts-Shoulder-Attractive/dp/B0B4PBFZC3/ref=sr_1_43?qid=1679139859&s=apparel&sr=1-43,3.9,79,399
